"Land","Wahlkreisnummer","Wahlkreisname","Bevölkerung_Insgesamt_in1000","Bevölkerung_Deutsche_in1000","Bevölkerung_Ausländer_Prozent","Alter_unter18","Alter_18bis24","Alter_25bis34","Alter_35bis59","Alter_60bis74","Alter_75undÄlter","Bevölkerung_mitMigrationshintergrund","Bevölkerung_Religionszugehörigkeit_Römisch_katholisch","Bevölkerung_Religionszugehörigkeit_EvangelischeKirche","Bevölkerung_Religionszugehörigkeit_keine_OhneAngabe","Verfügbares_Einkommen_jeEinwohner","Bruttoinlandsprodukt_jeEinwohner","Absolventen_allgemeiner_Fachhochschulreife","Arbeitslosenquote_insgesamt_2017","EmpfängerInnen_SGBII_Leistungen_je1000","Dummy_West_Ost"
"Nordrhein-Westfalen",92,"Euskirchen – Rhein-Erft-Kreis II",321.7,293.4,8.8,16.9,7.7,10.8,36.9,16.7,11,18.5,58.2,16.1,25.6,21000,27111,39.3,6.2,69,0
"Nordrhein-Westfalen",93,"Köln I",291.4,228.8,21.4,15.9,8.5,16.9,36.2,13.6,8.9,32.3,37.2,16.4,46.4,20799,54704,41.4,8.5,113.7,0
"Nordrhein-Westfalen",94,"Köln II",316.9,275.1,13.3,15.9,8.5,16.9,36.2,13.6,8.9,32.3,39.5,19,41.6,20799,54704,41.4,8.5,113.7,0
"Nordrhein-Westfalen",95,"Köln III",304.5,245.3,19.4,15.9,8.5,16.9,36.2,13.6,8.9,32.3,38.3,15.1,46.6,20799,54704,41.4,8.5,113.7,0
"Nordrhein-Westfalen",96,"Bonn",318.8,272.2,14.6,17.3,9.6,15.6,34.3,13.6,9.7,31,39,22,39,23005,74287,50.1,6.7,99.7,0
"Nordrhein-Westfalen",97,"Rhein-Sieg-Kreis I",312.8,282.4,9.7,17.9,7.9,11.3,37,16,9.9,22.1,43.9,23.4,32.7,22669,28152,44,5.2,65,0
"Nordrhein-Westfalen",98,"Rhein-Sieg-Kreis II",283.4,258,8.9,17.6,7.7,10.6,36.3,16.8,11,22.1,48.7,22.6,28.8,22669,28152,44,5.2,65,0
"Nordrhein-Westfalen",99,"Oberbergischer Kreis",273.5,249.6,8.7,17.6,8.2,11.1,36.1,15.9,11.1,26.9,30.6,37.8,31.6,22192,32506,37.3,5.5,57.4,0
"Nordrhein-Westfalen",100,"Rheinisch-Bergischer Kreis",282.7,258.4,8.6,16.9,7.2,9.7,37.2,17,12,19.1,39.8,26.5,33.7,24567,24121,45.6,6.3,62.4,0
"Nordrhein-Westfalen",101,"Leverkusen – Köln IV",311.3,257.2,17.4,16.4,8,14.3,36.2,14.6,10.5,32.2,38.8,19.2,42.1,20442,49465,44.6,8.5,112,0
"Nordrhein-Westfalen",102,"Wuppertal I",308.6,252.8,18,16.5,8.4,13.1,35.1,15.8,11.2,31.8,22.5,32,45.5,20746,34703,39.1,9.6,141.8,0
"Nordrhein-Westfalen",103,"Solingen – Remscheid – Wuppertal II",309.6,266.1,14.1,16.6,7.9,11.7,36.2,16.1,11.5,29.7,24.3,34.8,40.9,22492,31804,39,8.9,110.1,0
