"Nr","Gebiet","Kennzeichnung","Wahlberechtigte","Wähler","Gültige_Zweitstimmen","CDU_Zweitstimmen","SPD_Zweitstimmen","LINKE_Zweitstimmen","GRÜNEN_Zweitstimmen","CSU_Zweitstimmen","FDP_Zweitstimmen","AFD_Zweitstimmen","CDU_und_CSU_Zweitstimmen","CDU_Prozent","SPD_Prozent","LINKE_Prozent","GRÜNEN_Prozent","CSU_Prozent","FDP_Prozent","AFD_Prozent","CDU_und_CSU_Prozent","Wahlsieger_Zweitstimme","Dummy_West_Ost"
95,"Köln III",5,203647,150629,149525,36500,36849,19118,20973,NA,16850,11731,36500,24.41,24.64,12.79,14.03,NA,11.27,7.85,24.41,"SPD",0
96,"Bonn",5,227583,180439,179208,53334,36119,17133,25197,NA,28113,13136,53334,29.76,20.15,9.56,14.06,NA,15.69,7.33,29.76,"CDU",0
97,"Rhein-Sieg-Kreis I",5,237415,184295,182757,62334,40922,13038,13757,NA,27267,18237,62334,34.11,22.39,7.13,7.53,NA,14.92,9.98,34.11,"CDU",0
98,"Rhein-Sieg-Kreis II",5,216020,174513,173163,61425,34583,11116,15192,NA,30142,15226,61425,35.47,19.97,6.42,8.77,NA,17.41,8.79,35.47,"CDU",0
99,"Oberbergischer Kreis",5,208418,156593,155034,56567,35078,9887,9995,NA,21353,16413,56567,36.49,22.63,6.38,6.45,NA,13.77,10.59,36.49,"CDU",0
100,"Rheinisch-Bergischer Kreis",5,217425,174420,172529,61423,36221,11042,15581,NA,28787,13777,61423,35.6,20.99,6.4,9.03,NA,16.69,7.99,35.6,"CDU",0
101,"Leverkusen - Köln IV",5,212212,155139,153711,43175,41671,14284,13472,NA,18719,14970,43175,28.09,27.11,9.29,8.76,NA,12.18,9.74,28.09,"CDU",0
102,"Wuppertal I",5,208129,149950,148567,39341,38696,16100,12754,NA,18437,16431,39341,26.48,26.05,10.84,8.58,NA,12.41,11.06,26.48,"CDU",0
103,"Solingen - Remscheid - Wuppertal II",5,222845,164019,162469,51318,40743,12689,11726,NA,22947,16221,51318,31.59,25.08,7.81,7.22,NA,14.12,9.98,31.59,"CDU",0
104,"Mettmann I",5,205244,160315,159165,54126,36596,10216,11796,NA,25757,15053,54126,34.01,22.99,6.42,7.41,NA,16.18,9.46,34.01,"CDU",0
105,"Mettmann II",5,163229,125496,124440,40601,30492,8458,8599,NA,19691,11926,40601,32.63,24.5,6.8,6.91,NA,15.82,9.58,32.63,"CDU",0
106,"Düsseldorf I",5,220764,172947,171910,55052,33493,14675,17148,NA,33940,12029,55052,32.02,19.48,8.54,9.97,NA,19.74,7,32.02,"CDU",0
107,"Düsseldorf II",5,193175,143599,142546,40606,33218,14111,14379,NA,21277,12968,40606,28.49,23.3,9.9,10.09,NA,14.93,9.1,28.49,"CDU",0
108,"Neuss I",5,214779,160050,158775,56983,37438,9895,9583,NA,23585,14887,56983,35.89,23.58,6.23,6.04,NA,14.85,9.38,35.89,"CDU",0
109,"Mönchengladbach",5,190552,132006,130836,46786,30547,9627,8169,NA,17946,12373,46786,35.76,23.35,7.36,6.24,NA,13.72,9.46,35.76,"CDU",0
110,"Krefeld I - Neuss II",5,201450,155434,154190,54907,34051,9805,10871,NA,26859,12104,54907,35.61,22.08,6.36,7.05,NA,17.42,7.85,35.61,"CDU",0
